Minisector,PIA,LEC,Fastest
0,258.52060871657943,257.90311271217564,PIA
1,138.62242979744147,135.16136850631685,PIA
2,272.16297145609184,263.8040040420752,PIA
3,311.40926165376146,309.0362032370068,PIA
4,310.55629510715903,308.9533803279412,PIA
5,318.3803905797088,317.6966689846154,PIA
6,322.85011908266665,322.2766262537374,PIA
7,321.6579349206349,318.04535121249467,PIA
8,203.5160739438164,197.17255039232768,PIA
9,202.25553631371764,205.04746965958486,LEC
10,174.6606629620241,179.43022387906075,LEC
11,182.50766470909556,170.58906959502238,PIA
12,260.6530706647471,258.89236774866384,PIA
13,276.04229842672004,279.3768476190476,LEC
14,286.21088623081295,283.8066470554215,PIA
15,268.23739344641007,269.60644774808304,LEC
16,180.57198101449754,176.47111082894386,PIA
17,202.3738972854975,192.77639262368777,PIA
18,247.93221079056195,248.16611465807836,LEC
19,292.1169111111111,288.7758653846154,PIA
20,311.95848899226297,306.8238037590528,PIA
21,317.905088985089,313.60314285714287,PIA
22,313.4972946656275,310.73517189049016,PIA
23,241.0789393900498,240.4925974025974,PIA
24,125.864287106814,122.22133122166478,PIA
25,234.47000192,,PIA
