Minisector,OCO,ZHO,Fastest
0,292.8197994880576,285.41167114848486,OCO
1,304.0668686847619,294.44905525472063,OCO
2,309.8550068614617,298.34288356923076,OCO
3,304.51173197714286,292.619952416354,OCO
4,163.64271688754434,163.9084716259217,ZHO
5,197.64776819129392,199.36444111596248,ZHO
6,233.54260680709203,225.01387147470408,OCO
7,265.7172895154765,256.756945487756,OCO
8,253.15884588188064,249.15352945973146,OCO
9,158.94859532451957,159.34255703285714,ZHO
10,219.47282747567098,224.08448190049492,ZHO
11,122.84650028765229,128.66082126915757,ZHO
12,223.35737644346764,223.57372023458228,ZHO
13,175.45921548652709,178.166528935602,ZHO
14,209.91485598273016,210.0301774191544,ZHO
15,238.66015375891132,233.91114363705628,OCO
16,261.81359594720135,256.20491931605795,OCO
17,283.011434957037,279.19934632082163,OCO
18,158.79221312790122,152.0353834518404,OCO
19,159.40950659407872,162.18129451470165,ZHO
20,134.55322516406954,143.9298439109357,ZHO
21,227.8008643200154,226.7646650857801,OCO
22,263.80629391056203,252.4207903695238,OCO
23,246.3729435008966,237.59233031258148,OCO
24,273.48474490074074,267.9725310571678,OCO
25,285.4166656,,OCO
