Minisector,ALO,HAM,Fastest
0,288.5577012143693,289.0516921924515,HAM
1,295.40590984515154,289.7939480177778,ALO
2,167.8545904572699,160.1207960850315,ALO
3,222.12136367337536,219.25313897243637,ALO
4,269.6858661250269,271.22142415407404,HAM
5,291.6986255193277,292.53022504296297,HAM
6,298.94498104295366,301.0016667022222,HAM
7,167.61151202959707,165.02910019226593,ALO
8,122.09607852953896,126.94295619014433,HAM
9,244.56293526240557,248.93313297297334,HAM
10,283.2255190869145,282.9487032311512,ALO
11,295.0639389272271,290.73726086664743,ALO
12,152.29904086325215,149.44727534148566,ALO
13,182.58132917281966,184.34618384499726,HAM
14,253.24691644193732,252.4038526703896,ALO
15,202.32952730784436,206.70119401086419,HAM
16,213.9652076591304,210.76256387959,ALO
17,208.31047703975995,209.82101178778473,HAM
18,240.87326714933334,243.48575605094183,HAM
19,274.8131246243771,277.65112085333334,HAM
20,293.5096215520448,294.7061403211815,HAM
21,268.3234029123232,262.5547275401828,ALO
22,224.6340474009917,220.8102797357661,ALO
23,199.74457686245015,202.91089137292929,HAM
24,262.7120024464762,262.5132421055479,ALO
25,,279.34285714285716,HAM
