Minisector,RIC,RAI,Fastest
0,302.2159420753623,300.6454054046011,RIC
1,302.89903628480727,301.57537881212124,RIC
2,248.31543047901235,263.94765873258734,RAI
3,156.34823141897238,152.20499729042723,RIC
4,171.9032102970271,172.60165189794247,RAI
5,215.1360424711111,212.84958673204025,RIC
6,236.6452974947894,231.8968511008788,RIC
7,214.3147227022222,210.96357069405533,RIC
8,264.4634973415685,264.18374652450717,RIC
9,259.6518846655567,258.52796608243284,RIC
10,272.4916669681159,271.7290178985239,RIC
11,270.16324997333334,274.4249998310559,RAI
12,271.8332589650794,270.3028335847619,RIC
13,266.6383749228213,260.0162561423163,RIC
14,181.50707500843538,172.01210117147176,RIC
15,236.68593212175253,236.69709424469573,RAI
16,205.99741295714284,210.80215248417818,RAI
17,169.90585477600362,166.78642051967304,RIC
18,255.15288549743588,254.84872334759768,RIC
19,285.76875352273686,283.82326024209976,RIC
20,255.34887536410255,252.01819027985346,RIC
21,186.80977773699692,184.85929887307194,RIC
22,254.17786244102564,255.483916,RAI
23,283.2230306409078,283.9512943866441,RAI
24,297.2001985523809,295.76669483537415,RIC
25,301.0,300.0,RIC
