Minisector,VER,SAI,Fastest
0,304.4366204325926,305.99186082805267,SAI
1,230.39292127189248,234.39820599280876,SAI
2,130.12102893409525,124.97754412441913,VER
3,208.8888770874123,212.89309858209515,SAI
4,262.05118551859647,261.69698926170213,VER
5,286.5388513276552,286.7988785014286,SAI
6,299.66558875763735,299.71031172661066,SAI
7,280.5951806577778,282.49806723697014,SAI
8,171.76714071630522,169.36078779875206,VER
9,238.82368589784394,236.43994240533502,VER
10,271.09287949602697,271.6692595437037,SAI
11,268.4260522964974,262.8830445890727,VER
12,221.03211649477635,205.29769773161357,VER
13,124.88433515597771,106.81279711745557,VER
14,126.57480787436354,124.85643720612512,VER
15,166.9280557203246,158.80687156630984,VER
16,124.14104517493735,132.56680355756296,SAI
17,229.03514652767674,227.46447388818714,VER
18,183.42696148986695,172.77909040054433,VER
19,162.68438064744586,160.25428117640075,VER
20,245.87357417760504,246.7964222787826,SAI
21,273.302208380382,274.67632698349206,SAI
22,289.0044190574956,290.42564290635585,SAI
23,296.77246746771243,299.3095536685714,SAI
24,300.9350084454902,303.1158333866667,SAI
