Minisector,SAI,OCO,Fastest
0,296.40844899626666,293.07321443809525,SAI
1,247.19283724065775,237.6620269429277,SAI
2,202.1483119281187,190.54138484174118,SAI
3,265.2546011677748,260.5193444227032,SAI
4,224.90303415248002,222.61767737081593,SAI
5,112.81646939970963,111.05448351599968,SAI
6,182.2624645782728,164.5788068222794,SAI
7,257.91277995191916,258.629098557594,OCO
8,288.9770473514976,286.11580914034613,SAI
9,303.5629129292191,302.3854310509317,SAI
10,307.9305989448373,304.35733893657726,SAI
11,236.12419581845117,221.6180921397311,SAI
12,142.9440665335115,134.58884494307765,SAI
13,252.60819982984125,251.2875095113721,SAI
14,288.1521044990407,287.94460787758044,SAI
15,300.0735921608834,298.80795456969696,SAI
16,299.67843274949496,291.3098209406922,SAI
17,264.6083574634667,248.13863354638448,SAI
18,192.45399412793537,178.441793803275,SAI
19,184.1135171175066,173.56150407425636,SAI
20,174.65468429329235,173.04837450334938,SAI
21,246.95771630032786,239.25566645280665,SAI
22,123.15647654437119,117.11640753560583,SAI
23,194.91547870758612,197.9700345510697,OCO
24,274.27146015073174,274.5895913542701,OCO
