Minisector,LEC,STR,Fastest
0,295.30379587160496,302.6732308126154,STR
1,163.46209916813208,151.93480865320893,LEC
2,171.24850044732497,168.48455955096654,LEC
3,250.78502474933828,240.8798325418549,LEC
4,282.75977636598617,282.7375921138278,LEC
5,250.97287766105399,229.64785014386146,LEC
6,231.9721553772431,203.58619357295942,LEC
7,160.35128493973028,148.12191930471522,LEC
8,229.55952528895654,224.6163266634339,LEC
9,278.70274790549706,281.3639450901264,STR
10,298.69637844771916,302.6378186593464,STR
11,313.9528808765186,321.37485265112304,STR
12,320.13377190175436,332.44038622327986,STR
13,318.29162936485307,318.2424150493214,LEC
14,129.33554147480103,125.09866512193118,LEC
15,118.80568400976483,113.63505049154145,LEC
16,98.15035036638346,98.70851545057049,STR
17,233.36959278099755,234.45352659967324,STR
18,283.43594607847615,286.89476016737717,STR
19,302.45455982419753,317.8482135495238,STR
20,313.8088477970068,334.9722998170105,STR
21,310.44844827107767,334.40710959477127,STR
22,121.69518599481593,115.6174012271874,LEC
23,203.89970728277058,204.0626872980708,STR
24,269.7969609968849,272.11634704761906,STR
