Minisector,GAS,LEC,Fastest
0,273.6565886489591,274.03458224,LEC
1,298.37691579469333,299.87546228148153,LEC
2,309.98823504313725,313.56923017772976,LEC
3,316.2509802039216,320.7252602666667,LEC
4,320.2401960336134,324.73281246666664,LEC
5,321.0041669019608,326.3960937333333,LEC
6,210.05469160834983,229.51846990244954,LEC
7,108.71982469054171,107.23951883439015,GAS
8,183.8314342559291,176.72075165968255,GAS
9,263.99636396158706,260.6449847703096,GAS
10,291.6379381894737,291.8781941847464,LEC
11,170.39950670981005,193.8473807802469,LEC
12,98.12008511858693,95.55429235619357,GAS
13,116.06462531906068,109.90597753043478,GAS
14,221.54230697002683,224.1282804000857,LEC
15,188.1714283809524,185.78495712544395,GAS
16,224.59983665764491,229.5528982327122,LEC
17,181.30281800126983,181.47899101320198,LEC
18,241.3590965128022,233.66661333995862,GAS
19,281.8323300170426,278.17083620251606,GAS
20,250.72058016507938,264.55040035555555,LEC
21,145.85522701154468,146.99292368745046,LEC
22,97.92724274157483,97.44566636465679,GAS
23,125.64913465770543,122.611493630839,GAS
24,224.27300562893984,220.32130345600655,GAS
25,257.24999679999996,258.1166634666667,LEC
