Minisector,BOT,RAI,Fastest
0,294.47120314687675,313.01907957894736,RAI
1,206.40971223533862,193.59965575252576,BOT
2,233.28909115347557,222.98079035297556,BOT
3,275.60173483689704,280.8144388441911,RAI
4,234.45084369038136,238.06286888555226,RAI
5,126.99681048262404,120.8587595663986,BOT
6,217.0109480105721,205.74744379978625,BOT
7,264.71896644401414,255.6608636532054,BOT
8,216.44706283366594,201.43486076893367,BOT
9,208.96900222168662,205.48102794728763,BOT
10,266.14218494960716,266.60423881721323,RAI
11,210.48639129273138,204.72834970593948,BOT
12,180.20842886928725,170.3612431141812,BOT
13,263.8660922284017,261.5480229276631,BOT
14,284.2664471578948,286.72748232122126,RAI
15,266.6450798252176,260.4513585633142,BOT
16,245.38603992032998,243.24210106750658,BOT
17,276.1851707407142,282.4165334158789,RAI
18,289.4828792523506,305.9940713507969,RAI
19,182.14878033928554,166.79798621853706,BOT
20,217.85524958708558,198.7728775047706,BOT
21,169.89470264166687,167.64713850422564,BOT
22,147.36639134924354,136.30576238768097,BOT
23,243.55691807681993,240.51894531671417,BOT
24,281.9280040720355,291.32330086077366,RAI
25,290.83084508046807,304.94029856449094,RAI
