Minisector,VER,PIA,Fastest
0,280.9655962030602,284.1137739585327,PIA
1,296.5437572635268,300.1119387492668,PIA
2,297.8885415238095,300.98560093315194,PIA
3,187.9826541287204,167.4050234373249,VER
4,220.3511936767231,215.21899693860263,VER
5,205.65343603384704,193.87882452410383,VER
6,183.07429498404073,176.4440685472548,VER
7,208.92777813525998,200.3618644082251,VER
8,257.28673468272785,252.38262210691812,VER
9,269.59321872231885,259.78292118047057,VER
10,172.41479623682739,162.94496691068989,VER
11,238.3948084028147,235.79776691423092,VER
12,118.71195619445432,116.59562203200412,VER
13,220.08847062154004,219.15191510083437,VER
14,275.40922013724315,278.8287280209078,PIA
15,288.91927405714284,294.3031664090383,PIA
16,220.20390202954258,201.75666207561235,VER
17,182.1513629707196,177.79073250774437,VER
18,263.75276723741257,266.33140609652077,PIA
19,290.7366480608192,292.41928271030304,PIA
20,302.3314066922124,304.90918811351213,PIA
21,302.079621767565,304.6845859352381,PIA
22,273.5047477920099,275.133610092588,PIA
23,117.78703005736239,112.54225713739176,VER
24,238.81224657493652,233.45107425020282,VER
