Minisector,HAM,PER,Fastest
0,291.9083333818182,300.60126812753623,PER
1,292.90905794782606,302.2624191379886,PER
2,267.4339973973333,257.3153303405714,HAM
3,161.92291939206302,154.19580262795415,HAM
4,180.89919215140708,169.19133839619047,HAM
5,216.8813874350516,217.61921467898514,PER
6,245.9981954551547,236.07852670965949,HAM
7,219.72554497393807,212.60115002300432,HAM
8,268.9870493626389,268.00296164793434,HAM
9,266.4811366854543,252.4948685506144,HAM
10,275.6572549714286,268.91357369127496,HAM
11,276.950901897898,269.286448919192,HAM
12,273.1481189241905,269.49049975466664,HAM
13,273.95145020289857,265.8468132220603,HAM
14,190.47799165513368,178.3422447915344,HAM
15,236.11260868727933,236.2583663882318,PER
16,218.35712337987314,211.8560877388444,HAM
17,172.23545729400155,172.90063996908646,PER
18,255.68919845925925,256.21827448996277,PER
19,283.6646035911306,284.94252246522143,PER
20,264.86583055589347,256.2330360005893,HAM
21,193.23299132281267,182.47788011822453,HAM
22,252.742699643081,254.01826894857638,PER
23,277.9505066414871,284.3438335121661,PER
24,289.16371524444446,295.74223505454546,PER
25,,300.22083306666667,PER
