Minisector,RAI,VET,Fastest
0,299.07618435741057,306.8757593212121,VET
1,157.1066173424036,162.19166740666455,VET
2,157.87976104126983,164.19592126871743,VET
3,216.13901273629216,210.39488031899046,RAI
4,283.11979202424243,280.87922860845583,RAI
5,295.0141974668618,298.38679109185955,VET
6,145.7584024462385,151.01467905852078,VET
7,139.75593539448718,142.39523438925383,VET
8,152.28689847887946,160.05546696984223,VET
9,169.43433603084358,163.03977732004833,RAI
10,136.06053466230648,133.69991127049667,RAI
11,129.51287494568433,128.50402909237644,RAI
12,157.79074068142353,152.4342024696449,RAI
13,263.359417248,261.5499135555555,RAI
14,289.67585195151514,290.4226726792312,VET
15,154.17336076285142,153.3217251301587,RAI
16,213.274633947995,209.58132699472634,RAI
17,159.6191866198843,157.01231854777689,RAI
18,264.79321342721215,266.27204154037264,VET
19,287.22492864262057,289.21187097523926,VET
20,299.5282564882507,303.5483420154195,VET
21,306.5339568181406,314.0172619174603,VET
22,310.32066326349207,317.9134350942222,VET
23,313.9,329.3936608457143,VET
24,310.81090861026433,334.2733466213733,VET
25,311.0,,RAI
