Minisector,NOR,VET,Fastest
0,278.7362205087818,279.70946879927953,VET
1,298.93574881026984,296.9842714388993,NOR
2,294.9213756621877,296.4040194598194,VET
3,173.2687331150892,171.7140121715601,NOR
4,124.32106976430528,121.84148866118528,NOR
5,240.86159398738602,240.26850407217162,NOR
6,282.74262773333334,282.8295671794872,VET
7,288.7946142695925,294.02634040658586,VET
8,186.0909567436074,185.46257200050647,NOR
9,144.41156807136497,143.74465418911961,NOR
10,254.2990343983826,253.8386644371074,NOR
11,289.8184519497143,290.5180475184762,VET
12,298.73395253638097,301.53628423166646,VET
13,282.03718117110077,277.4715151309339,NOR
14,295.3789690837237,294.4872718676415,NOR
15,298.7099371922193,297.908166784,NOR
16,251.20609444653326,259.2127044530679,VET
17,230.41815238143562,221.10985587757756,NOR
18,278.8923515674843,273.9877354888468,NOR
19,298.827034980693,296.1751270993809,NOR
20,297.5791132728735,302.576215753883,VET
21,228.64743769927668,234.34626985238734,VET
22,259.90889383690563,256.60941395300466,NOR
23,139.0362332588879,145.63088240041753,VET
24,218.60146722463392,206.38419912128975,NOR
25,260.73333333333335,259.53000000000003,NOR
