Minisector,BOT,GAS,Fastest
0,292.902976152381,310.35097348822455,GAS
1,295.22687498666664,318.40931356862745,GAS
2,296.42324564210526,324.0630685073223,GAS
3,237.64871213898496,218.6972992872975,BOT
4,239.6027067848812,220.09827042387437,BOT
5,119.37720395018545,112.61422188929163,BOT
6,219.44660543209878,214.9063939722861,BOT
7,270.0965128489796,270.18433347186146,GAS
8,240.2646407192381,239.30436908077775,BOT
9,118.68357647479735,112.29167292641353,BOT
10,236.95514464368313,233.3931294081949,BOT
11,259.17543315670997,248.58246546666666,BOT
12,140.1993841196099,133.62905084239677,BOT
13,215.82868620227867,213.7276171542703,BOT
14,271.63595133339135,272.1432362018649,GAS
15,238.0402881584762,227.97062918681317,BOT
16,158.87829284044872,152.09147625867658,BOT
17,241.36998964444444,241.6736104888889,GAS
18,125.42668293097695,126.82738478116617,GAS
19,151.5357858021661,142.8295632313686,BOT
20,201.60336450311988,182.04386586690063,BOT
21,262.4725313559984,257.3249918345988,BOT
22,279.24666656,275.7374431927438,BOT
23,285.2962299936508,281.41181063057644,BOT
24,293.12158965703316,289.4284771226589,BOT
