Minisector,BOT,GAS,Fastest
0,273.5326657040866,267.9856342405211,BOT
1,293.8111174343947,285.6338365947584,BOT
2,301.9672615372541,293.98030726928613,BOT
3,128.27495768674734,130.51279648761508,GAS
4,190.98346329011926,194.35389247042076,GAS
5,257.5018763857798,255.9243767068099,BOT
6,139.74321525199025,144.30723414523194,GAS
7,201.2660099011084,200.04945831884058,BOT
8,260.17454429822294,255.9172823354685,BOT
9,281.64108699440396,278.28529424313723,BOT
10,222.51224401731858,229.1949762707874,GAS
11,175.00527887302644,182.1847887411772,GAS
12,184.5013606650815,191.50572303747833,GAS
13,143.8552159682135,145.07947611498113,GAS
14,176.92309226360874,171.78553605062953,BOT
15,158.79249933077026,156.01335334168633,BOT
16,214.52450709575098,213.31716102717772,BOT
17,234.59076679792187,232.52332746770247,BOT
18,238.63084571268965,229.66545167136246,BOT
19,237.86715812550642,247.64823603434806,GAS
20,143.2400505400433,143.34853473147203,GAS
21,132.5608153774448,139.97549721440924,GAS
22,164.41362726667208,163.37892279694074,BOT
23,147.18754268587853,148.4766864990812,GAS
24,226.7008974750275,220.16752577013318,BOT
25,256.25,252.8707519150479,BOT
