Minisector,RIC,SAI,Fastest
0,296.8119053028571,309.99360159238097,SAI
1,308.6395363849624,320.5516956655226,SAI
2,313.4383771508772,323.7634804705882,SAI
3,304.56416544,320.71271825964914,SAI
4,166.29290680301443,165.20651517344433,RIC
5,207.67718802411062,206.30580411428573,RIC
6,228.5055070778834,234.20613450734626,SAI
7,263.7135820783686,262.487148578355,RIC
8,263.0020489609281,250.43116267546338,RIC
9,160.91841640542475,161.55603082362646,SAI
10,226.8982767671382,229.2155420962265,SAI
11,127.32085606057504,134.7319317379036,SAI
12,228.00990372571428,228.41102718453038,SAI
13,184.04512282172917,185.14629768571427,SAI
14,219.3956717948718,217.40138883041328,RIC
15,248.89122342939766,240.55887674699795,RIC
16,265.77227233181645,258.1681211280789,RIC
17,286.5057538031746,281.3082484825397,RIC
18,156.52880939391295,161.48896905900816,SAI
19,168.2177943449594,169.67619072,SAI
20,140.1474590317087,143.24440314543187,SAI
21,165.26898873560557,165.98592808354533,SAI
22,113.54488768034349,112.92188096304763,RIC
23,226.02756315897435,217.22733866980144,RIC
24,272.37499686836276,267.9687504969697,RIC
25,,285.2416672,SAI
