Minisector,ANT,LIN,Fastest
0,305.7710233904762,298.29430525139117,ANT
1,149.59390983526694,147.80362158132345,ANT
2,209.15069765946953,216.7666972521739,LIN
3,287.00770877128724,285.1151402766123,ANT
4,317.67803590965985,318.2293171968298,LIN
5,318.5442703666667,318.67460219272726,LIN
6,176.95796220690883,184.44554723102038,LIN
7,120.15099152698937,116.74968935663206,ANT
8,253.14564792380952,255.5092616730688,LIN
9,298.2693878072122,296.9132533034091,ANT
10,297.7870795169565,301.7112557185434,LIN
11,133.58786584398385,134.60972818555894,LIN
12,180.99582141522242,173.53956342847738,ANT
13,248.80830802575963,244.82907283446175,ANT
14,189.0205591303716,178.15851620719053,ANT
15,193.04662853986176,189.087425294131,ANT
16,190.05023255024125,189.08439592557625,ANT
17,237.55670332179417,230.80488879828286,ANT
18,281.53064337814635,279.15657645850564,ANT
19,296.5244206469418,297.7033317927273,LIN
20,243.171009216,234.5941256511066,ANT
21,203.3892474005964,194.82165442725275,ANT
22,190.973556352,186.62518592527474,ANT
23,273.21603696919635,270.3867049344775,ANT
24,307.01502716349376,305.1754969939394,ANT
