Minisector,HAM,VET,Fastest
0,301.1869938533333,299.91865344799584,HAM
1,303.43859649122805,304.20764771076546,VET
2,299.49379398130736,303.8767553122807,VET
3,236.45200166400002,218.16028447719162,HAM
4,223.9959033809653,225.46402591695238,VET
5,123.58149231504831,121.2351702800306,HAM
6,231.79453965048302,226.85644479114336,HAM
7,270.33710228752835,268.67757030951947,HAM
8,219.7332641213194,223.93793352478633,VET
9,121.74790373678393,121.39181007090272,HAM
10,241.94776253047652,240.32756523387658,HAM
11,253.67898731594204,251.5122359466667,HAM
12,137.78767380027801,137.02982502545075,HAM
13,224.4291383235385,219.9988262846271,HAM
14,269.5859099835299,267.05416604444446,HAM
15,230.2324092830476,223.36150282694277,HAM
16,177.81084152816183,167.39986966502144,HAM
17,246.71177470144926,245.40639390347934,HAM
18,127.71167555749466,124.65736614996895,HAM
19,152.6386240621715,144.93885936288703,HAM
20,209.0783177140756,193.34520140076648,HAM
21,258.89166519641566,252.65692706691019,HAM
22,275.5471128304762,272.6874424545282,HAM
23,285.92122966349206,282.3655173577143,HAM
24,295.73145808,291.9764365390976,HAM
25,,298.14999964444445,VET
