Minisector,GAS,LEC,Fastest
0,290.65192311794874,298.287396766994,LEC
1,159.53220767783338,158.36096256155597,GAS
2,153.04276129317523,153.36749079758138,LEC
3,222.30913978494624,221.8191571784089,GAS
4,283.56116671699755,284.31159559314284,LEC
5,289.73904761904765,296.6198717948718,LEC
6,146.29765568166556,148.8602196513777,LEC
7,141.17949596596677,141.79925315153295,LEC
8,149.17388938809256,149.66324804662327,LEC
9,179.247765861328,174.4733232454265,GAS
10,134.8563572998248,134.45928434151784,GAS
11,130.6675700579114,128.3993259534972,GAS
12,161.125575110028,159.66286989646096,GAS
13,265.1409968315801,264.77246360653305,GAS
14,290.7210144927536,292.31250018133335,LEC
15,154.66574864071345,157.81160634285715,LEC
16,211.12410071162935,215.93492589355742,LEC
17,167.08995653941153,162.19192078376813,GAS
18,267.60500946867245,268.15585243942365,LEC
19,290.4425843809524,291.78400008533333,LEC
20,302.5915427111111,304.3590773012518,LEC
21,310.2536231884058,311.0714079102943,LEC
22,314.2809028,314.75277782222224,LEC
23,315.7915715795868,317.5498130364326,LEC
24,311.9520832820513,304.47095733968257,GAS
25,,300.0,LEC
