Minisector,TSU,BOT,Fastest
0,255.1169011209642,255.55645892491577,BOT
1,213.08368323260234,217.8336614529765,BOT
2,207.36925959081887,204.81664996376418,TSU
3,257.2681759394048,260.39920932042253,BOT
4,271.05395337317333,275.31054520917723,BOT
5,285.8214675705887,286.00471012173915,BOT
6,162.2894058452595,163.8984327136345,BOT
7,187.43755180835893,187.31939461797126,TSU
8,267.5316624337222,267.63371129947495,BOT
9,289.22852661553304,293.0459551625373,BOT
10,299.009596762712,304.06638161369,BOT
11,297.77527233742046,303.592919833173,BOT
12,113.82180815115987,115.96478136524595,BOT
13,189.3703000122252,188.1515493447407,TSU
14,270.1588286543377,270.452576856222,BOT
15,292.8366442958402,295.22076175105246,BOT
16,295.636931809393,297.0879726259605,BOT
17,184.8588086536105,192.2225827615218,BOT
18,222.0429541073889,227.1771853000885,BOT
19,265.29392451278557,269.91597994530895,BOT
20,154.3299898730708,152.997526957232,TSU
21,147.62114388272724,148.96961397954567,BOT
22,222.90695492177056,224.14631887307291,BOT
23,233.65967348003045,223.1731886046114,TSU
24,158.34597450483662,161.30171540449035,BOT
25,228.23333119999998,,TSU
