Minisector,NOR,PIA,Fastest
0,308.7430213422222,252.34279182467336,NOR
1,189.54582891032427,122.03792542103005,NOR
2,111.56317294618017,131.87854784251138,PIA
3,189.11771511343773,220.12183935095382,PIA
4,253.1882381439923,269.14020971636364,PIA
5,282.5428567695238,292.2144303894619,PIA
6,299.3022397696192,303.8605246957143,PIA
7,235.63603213561905,174.4799052935509,NOR
8,146.1280794784163,161.22894546182175,PIA
9,228.39055806048455,244.47273277543167,PIA
10,269.62490545015874,276.86029552571426,PIA
11,225.98010543264573,209.05543606668866,NOR
12,177.7790875629932,176.2501578429159,NOR
13,108.25343787448281,92.40115002882249,NOR
14,103.91661753102453,117.45095183779338,PIA
15,136.1037887809555,108.95353413653439,NOR
16,111.78247106365964,150.86480193042337,PIA
17,206.3317618583851,215.75626589459486,PIA
18,162.29023210185056,130.8380185243024,NOR
19,147.6967231176407,186.02666555850556,PIA
20,239.69743138533303,255.31710874828283,PIA
21,272.9226999737374,280.0043759398257,PIA
22,291.2816954697143,297.36065673890306,PIA
23,302.41171971573687,305.61448371458584,PIA
24,308.1886058597373,310.39554392592595,PIA
25,310.0,,NOR
