Minisector,PIA,VER,Fastest
0,310.0209625242236,323.44350764295353,VER
1,240.03435913982923,246.67733135746033,VER
2,130.28995513843418,124.18738121442819,PIA
3,231.03178681360546,240.93798409384732,VER
4,193.14546252290194,191.70348269796696,PIA
5,250.12198812380953,251.16349856551224,VER
6,233.88423646875128,236.54191598876895,VER
7,258.81795003768985,256.9349283752248,PIA
8,295.57988856238734,291.3423724711111,PIA
9,198.54617597247537,214.37520010950516,VER
10,204.51210004667408,192.7272087123707,PIA
11,276.0991234871593,271.9360255275221,PIA
12,218.37568466732785,228.7621818346153,VER
13,255.10585581230302,246.6440075895571,PIA
14,294.69386458882786,291.64485427155347,PIA
15,312.19211518499276,309.6116048895046,PIA
16,312.083682837458,309.07043630629863,PIA
17,205.32576793333465,213.23095734377173,VER
18,263.4477814493531,255.51693974641537,PIA
19,299.3147245845749,294.92731447208325,PIA
20,313.3263911068783,310.75471733581793,PIA
21,312.7057183238095,308.6504342951111,PIA
22,147.52976872327685,156.96458398261478,VER
23,234.9692699875329,222.9129521810098,PIA
24,289.12884749150413,285.8994784020106,PIA
25,,301.9312496,VER
