Minisector,RIC,BOT,Fastest
0,261.3164120054422,265.85313983917,BOT
1,134.02802911913852,132.64810804272074,RIC
2,194.0853781879604,190.8997932464473,RIC
3,242.61696396190476,243.75711251485163,BOT
4,254.19356485612244,262.0902245206683,BOT
5,170.7736026767033,177.63986810366816,BOT
6,143.24121535239988,147.61683022691216,BOT
7,184.94261758899006,180.93386552439105,RIC
8,101.6213110836332,102.86179707964345,BOT
9,77.40151233630291,78.00967661023468,BOT
10,97.61694411182772,92.38973956491438,RIC
11,180.87424048039966,167.63527858588208,RIC
12,241.78093097384647,240.85249962666666,RIC
13,265.33571405714287,269.8877289241068,BOT
14,276.31039059231216,279.2777195158244,BOT
15,123.45754444937809,120.20105073672924,RIC
16,136.19045034392076,130.3283676562639,RIC
17,188.82459208822056,188.3481777589726,RIC
18,195.63822846730417,188.49540521086394,RIC
19,215.04879122170126,218.9618514596292,BOT
20,136.21991470579263,128.6185405798942,RIC
21,121.20984361151805,121.71987457828642,BOT
22,92.87273681813069,89.03342117776171,RIC
23,190.37708432592592,188.5913183111111,RIC
24,244.14918304676894,249.66533532322464,BOT
25,259.38,,RIC
