Minisector,NOR,LEC,Fastest
0,307.36393245306147,293.70869081142854,NOR
1,322.6656847919098,304.83650318702234,NOR
2,303.1099381669759,291.0997871809774,NOR
3,103.50376814201331,110.00514535390788,LEC
4,226.58921877454918,220.40160385346502,NOR
5,282.4353983180375,274.85709184786964,NOR
6,221.53602155530407,202.75406888987746,NOR
7,154.42313993943014,155.49788316219377,LEC
8,209.2446521727556,203.38795778428914,NOR
9,210.05922418864816,220.30890622098386,LEC
10,115.58243003747066,121.15297747954934,LEC
11,228.48203090926108,229.59511529578361,LEC
12,115.55559042266943,116.52567766641259,LEC
13,221.21738493034925,230.39528356317462,LEC
14,275.7271738434783,277.82723167613716,LEC
15,216.90515965504048,208.9827610249433,NOR
16,180.8547500905428,192.4429990424904,LEC
17,244.1113292431527,252.17172856042328,LEC
18,200.79095526511435,189.3246914621216,NOR
19,180.33575018030646,186.0740049599162,LEC
20,263.44552722165577,268.4137587775163,LEC
21,288.8275538011297,287.6815328571428,NOR
22,176.91582923715876,165.4612336100901,NOR
23,210.8096588707648,204.93631784089212,NOR
24,271.7246014737572,276.4850069029957,LEC
