Minisector,SAI,HAD,Fastest
0,297.81451284172334,293.0680908933333,SAI
1,315.2177509822825,306.215882247873,SAI
2,318.6059523047619,310.9052314646913,SAI
3,318.21805546666667,305.37185102222224,SAI
4,185.1814264376081,189.74236932307397,HAD
5,220.86002526346005,222.21088890349208,HAD
6,268.3915048432468,270.853190769723,HAD
7,262.93359662576444,266.63492411027573,HAD
8,192.79878070412835,195.52034980253808,HAD
9,137.91012223116485,145.2148371460033,HAD
10,185.4189609607159,182.02510178780116,SAI
11,261.39058842352944,265.1005254308388,HAD
12,248.92024196672324,244.33242756508307,SAI
13,225.17623505493336,226.2501148889742,HAD
14,268.93890610713436,271.1038421118537,HAD
15,162.0991826872829,165.5439018174296,HAD
16,219.83075390522887,218.89481658254257,SAI
17,237.63605855832597,233.7707679506117,SAI
18,130.90071598522914,129.1914685984388,SAI
19,242.13162059580952,244.15738466444267,HAD
20,286.02031311238096,286.92440674136884,HAD
21,252.8579609962482,242.7320923083337,SAI
22,137.3508995175037,143.98336764035852,HAD
23,210.41641410111723,219.05050276289205,HAD
24,269.9791038440248,274.29631996434233,HAD
25,286.81000192,,SAI
