Minisector,NOR,RUS,Fastest
0,275.2636091471266,275.80130517238564,RUS
1,297.55233591111113,299.7228269073302,RUS
2,295.54012461491055,297.92088448607836,RUS
3,176.37358061225933,179.22677096527585,RUS
4,118.08752642575189,117.11835793832024,NOR
5,233.0601204846453,232.862470593204,NOR
6,281.89779487022633,291.3266953875441,RUS
7,287.2026902837234,310.4321728200867,RUS
8,179.125840352363,173.37861523473123,NOR
9,139.52704108315714,136.66644406134174,NOR
10,247.91948777025638,247.71966454970018,NOR
11,288.34946636726846,289.5451546331653,RUS
12,302.7768819266476,304.2153927223392,RUS
13,287.4860486952997,282.0974970392569,NOR
14,298.38758942765486,298.4671053152882,RUS
15,300.26784739758733,300.8001387128889,RUS
16,257.48781830750124,255.08574422664478,NOR
17,236.04695958646076,223.68431902738354,NOR
18,276.28043789831105,280.66787078536765,RUS
19,296.60784168601873,312.48178839655503,RUS
20,303.3272513137148,321.5614591356958,RUS
21,237.00578567692588,222.881492654966,NOR
22,263.87846069544975,250.695179138877,NOR
23,138.96896801416582,130.17757253756594,NOR
24,209.44373073845682,197.34978958931652,NOR
25,,255.74062560000002,RUS
