Minisector,RUS,GAS,Fastest
0,275.08746872242426,276.08405090309645,GAS
1,157.23213382935162,154.34636375853756,RUS
2,146.428662771811,140.48540533699816,RUS
3,221.8701581383572,223.65626130942468,GAS
4,279.3343577898137,281.29335347936507,GAS
5,276.6923917336506,280.4811287493168,GAS
6,142.89118888391857,141.11169212644123,RUS
7,141.95818968374778,135.85639024639218,RUS
8,137.54710525123127,133.69030499568805,RUS
9,189.12420994589567,187.14267540491343,RUS
10,130.6212748889441,124.19536295093111,RUS
11,120.31680250191619,117.01908671537618,RUS
12,166.507054895413,164.867810496737,RUS
13,265.0890671920773,265.83846730187594,GAS
14,282.6851242287521,286.49111121216373,GAS
15,144.9091547322121,146.4345060876265,GAS
16,206.292605223765,197.46868748867726,RUS
17,175.47718068912377,168.11946523047618,RUS
18,267.58387071410795,266.71589493671183,RUS
19,288.5144444789611,289.73598543183124,GAS
20,300.775905916753,303.2552875838816,GAS
21,306.9100287985418,310.74982141142857,GAS
22,309.6641362215734,313.63759283979743,GAS
23,311.205015712364,316.26710858989895,GAS
24,309.02748205835746,313.6005620966744,GAS
25,303.8458336,,RUS
