Minisector,RUS,ALO,Fastest
0,253.81531598006566,246.2112361734369,RUS
1,214.63586353926655,209.7656442408791,RUS
2,207.01762549341964,209.78064279914886,ALO
3,255.58793473855073,259.96754589037033,ALO
4,268.9101728272965,276.1203246593525,ALO
5,289.3031996160983,291.70183139442423,ALO
6,162.58742055088786,150.59139008296032,RUS
7,185.67435141885056,188.28168960732089,ALO
8,266.86303631454706,272.972391903323,ALO
9,293.61215719896103,305.4455663012063,ALO
10,303.59301588825394,314.28988807720515,ALO
11,306.1841921942857,292.9356134874074,RUS
12,115.57044055419857,104.05519958470994,RUS
13,194.63830932597702,204.03854137740663,ALO
14,272.038943910559,281.027338456,ALO
15,295.3753288701754,310.3897855407407,ALO
16,301.8088645650872,311.24423678245233,ALO
17,186.75640531349862,179.56621966709253,RUS
18,217.7801582556539,227.24149676472663,ALO
19,269.5522232984127,259.31155641766236,RUS
20,145.31007878104106,142.05495399306804,RUS
21,142.25719694999356,146.50663912882695,ALO
22,217.41227807390476,227.47317663563737,ALO
23,226.18968083262456,210.54938712404513,RUS
24,156.74772667067884,153.0187884747261,RUS
25,226.62953098526467,,RUS
