Minisector,NOR,ALB,Fastest
0,261.43471986571427,260.76704837602466,NOR
1,137.26716924461698,135.56710515289137,NOR
2,204.06504139174604,198.46514295636365,NOR
3,249.06726592101586,248.0247958366704,NOR
4,258.70380169329286,256.4910501104762,NOR
5,181.4441351695238,176.24654238014432,NOR
6,157.13789951301126,150.10562878343163,NOR
7,194.14020743472682,184.49304004419048,NOR
8,107.80194275138942,103.01185977509768,NOR
9,74.9008318690053,69.97177422139681,NOR
10,96.69577175041796,96.7666279336777,ALB
11,186.2637356379824,186.91171927945578,ALB
12,250.0115560391111,247.8823892622222,NOR
13,271.6505372685981,270.64076342160905,NOR
14,285.0679167827552,282.50875022908684,NOR
15,109.44098527034922,119.4434467998021,ALB
16,155.42655464498037,167.01716222043657,ALB
17,188.09187277034025,184.76394738526315,NOR
18,208.20487481400562,202.6204851129568,NOR
19,223.6178671514074,205.6099324464935,NOR
20,146.20897148713817,140.61141174545455,NOR
21,111.5486588148157,108.87950927830688,NOR
22,105.10516563800404,103.76763868292335,NOR
23,204.79994988395123,207.32219486916222,ALB
24,258.2162166933333,250.12815153333332,NOR
25,266.8750034285714,,NOR
