Minisector,BOT,RUS,Fastest
0,327.9732138320347,320.594918602698,BOT
1,340.5954646058957,329.05220159921834,BOT
2,344.20439683780097,330.5951317621531,BOT
3,206.48578203346202,190.29848819710244,BOT
4,115.14234495541889,114.67387223258727,BOT
5,265.9486485235215,264.5453748557908,BOT
6,301.1152168811594,300.64271400228574,BOT
7,311.3081520231884,307.79655800579707,BOT
8,279.0475345382716,274.026235654321,BOT
9,139.91546375384615,138.09286321583738,BOT
10,219.67139000702593,212.25819976541513,BOT
11,208.5343473927171,207.01636854229693,BOT
12,191.00683265824966,188.32605622882946,BOT
13,266.92239716684304,268.3108275692368,RUS
14,301.25424112332763,305.92616778418176,RUS
15,311.82536217971017,322.83931144347827,RUS
16,272.2109422544832,252.39897798102945,BOT
17,195.20198307724866,194.41846127527873,BOT
18,267.80642064146366,267.5572052258113,BOT
19,306.28768055652176,308.1615936927536,RUS
20,316.62826073043476,322.4624257886029,RUS
21,308.87777964444444,295.7225713777778,BOT
22,203.89858358755293,199.08158354773934,BOT
23,261.7476692575897,266.41249935238096,RUS
24,305.501999104,303.4903130106028,BOT
25,319.3833322666667,,BOT
