Minisector,LEC,HUL,Fastest
0,273.94688672422393,273.87212813383303,LEC
1,225.2189235360587,229.895231916695,HUL
2,113.3412010585356,114.8468941966813,HUL
3,191.8304613865407,188.41419019540933,LEC
4,181.826568792566,177.17815528088366,LEC
5,219.540881001664,218.5755453855845,LEC
6,275.8376527581535,272.8006707815497,LEC
7,292.0844495157776,289.6238412539931,LEC
8,179.94563991294729,175.53184882003205,LEC
9,134.05194549910408,132.15809191149205,LEC
10,133.26438919763456,132.28300606626132,LEC
11,187.22844138670266,188.61447066448036,HUL
12,224.5904301883289,218.94944672971346,LEC
13,132.8181320462119,132.18725340878524,LEC
14,155.61708888210745,152.79450771919232,LEC
15,120.17783270093386,121.82013561950494,HUL
16,252.34480444675322,252.36973722287274,HUL
17,147.06123732946244,141.99477981852877,LEC
18,197.27614367795672,200.08919321901521,HUL
19,136.88938159684798,134.26216570366424,LEC
20,150.7710284412674,148.700737627362,LEC
21,124.9155283910719,127.05896255707333,HUL
22,143.5501798096643,140.71278184945976,LEC
23,216.51023147712442,214.64750069780806,LEC
24,225.10659340487607,228.54597248374816,HUL
25,259.8958293333333,259.36785645714286,LEC
