Minisector,VER,HUL,Fastest
0,311.1380532368843,292.1959597286771,VER
1,189.0908344661287,198.5091798115909,HUL
2,230.08973174910642,221.55987782288997,VER
3,284.13381493452766,271.6564498069684,VER
4,233.87765516634457,232.77420586073174,VER
5,125.35531531508714,122.75950430797089,VER
6,212.81180738598158,206.46581038153892,VER
7,259.7853337656143,254.2009144158749,VER
8,204.43982729858473,207.88107349950067,HUL
9,211.497043846205,202.4267250246817,VER
10,269.5098530381153,262.3099589364302,VER
11,208.75845003299693,212.7194404294106,HUL
12,182.30826897815277,171.519604519824,VER
13,263.1780182525516,256.7043910440517,VER
14,287.80816379192925,280.1222964668408,VER
15,256.1561058694443,260.7493156344841,HUL
16,244.16574824247246,233.38138685334684,VER
17,285.0840813521861,269.2565920915346,VER
18,309.02115743772544,284.320595277411,VER
19,175.41736708218716,169.3507212502192,VER
20,210.9827736725044,209.5780753954821,VER
21,170.68555118581608,180.1765407449301,HUL
22,141.60050395704204,133.58052716347632,VER
23,239.04898867291197,232.4922968278843,VER
24,292.13897747146797,276.90258994170176,VER
25,307.75714377142856,289.20416639999996,VER
