Minisector,HAM,VER,Fastest
0,312.7163030865485,307.079594935456,HAM
1,326.6830529777998,328.43862444021164,VER
2,310.4064212376181,317.96822894102445,VER
3,176.49950369565786,170.75599421530765,HAM
4,212.39100460159236,212.67726251970785,VER
5,196.90624633233784,190.89431982962512,HAM
6,178.29045204014926,177.85275971824035,HAM
7,203.66765604501035,204.08935100043595,VER
8,252.81113014367165,256.0475649014066,VER
9,249.4260278621645,250.49977279303664,VER
10,170.20749879793783,165.2775719933634,HAM
11,233.8253416508706,231.42016531967158,HAM
12,123.12196082716854,126.95048189080025,VER
13,237.36784693800615,237.35565774687134,HAM
14,276.723468381687,277.76767397483405,VER
15,272.95986504357865,273.44949135376623,VER
16,202.33322218003073,199.54948766880193,HAM
17,198.46591287496162,192.69510452718134,HAM
18,291.3126746433058,290.55738962726514,HAM
19,326.61526745931496,322.50781256319283,HAM
20,328.03208014837094,324.13197424454063,HAM
21,301.8499239588572,300.9810842720981,HAM
22,251.4519918983286,245.83338975401097,HAM
23,124.83069739800716,122.85309876407104,HAM
24,246.56809147956045,251.3488531378207,VER
25,284.8714313142857,,HAM
