Minisector,LEC,PIA,Fastest
0,303.294194976254,304.88092105006103,PIA
1,318.1464255775438,322.34406757079364,PIA
2,324.9298120894074,329.3374448536961,PIA
3,326.8230468324066,332.43945723928766,PIA
4,195.9873971419666,196.08132439844798,PIA
5,205.2692687441013,216.04113768549686,PIA
6,264.66682779602337,268.09604215111113,PIA
7,263.82652485229437,259.9543765481349,LEC
8,185.52445069985993,189.5835166278458,PIA
9,150.65282773101455,147.26510787098414,LEC
10,173.96397438943129,174.4368732520458,PIA
11,256.4891595293906,256.54086216274567,PIA
12,254.28578914708993,249.22007236155844,LEC
13,227.77452725307361,222.65475762680776,LEC
14,270.25034930391166,265.82318751466664,LEC
15,172.6182788606277,163.353916700778,LEC
16,212.13593694099487,217.19150037145482,PIA
17,244.66366116968945,237.31089616195786,LEC
18,134.21628934027916,133.8661126223939,LEC
19,235.55105611550033,237.7842743073716,PIA
20,276.9492025070051,279.35449135771427,PIA
21,242.6318495292904,238.63654216325546,LEC
22,136.84644867794,139.34176777790864,PIA
23,209.3381590561286,208.64076304390406,LEC
24,268.74602202666665,273.9918580814269,PIA
25,282.5833333333333,,LEC
