Minisector,SAI,NOR,Fastest
0,250.9516148485501,249.1296373599979,SAI
1,207.04934445471136,207.03993879064063,SAI
2,198.63551276549333,201.4482635240475,NOR
3,249.08329735937323,256.37639891301586,NOR
4,265.0445333426526,270.455150105176,NOR
5,287.06565143544356,278.05936981157026,SAI
6,163.8537723810461,163.12795202678186,SAI
7,185.1963898755799,186.84275382695844,NOR
8,268.734839552312,264.3939252464478,SAI
9,302.6561443490052,289.2698423928022,SAI
10,320.9136929179804,296.89508236952395,SAI
11,324.31653324907563,289.6201884920635,SAI
12,116.43038211823904,112.96420778605477,SAI
13,178.46361446446613,190.6711041305937,NOR
14,266.59939486078673,267.90902601650794,NOR
15,292.8915095690236,291.2743757122042,SAI
16,300.92425600971956,290.86279463218045,SAI
17,180.04903805322417,183.7223747645227,NOR
18,220.55133895882366,221.06043924977504,NOR
19,266.66829633411015,260.5519410921304,SAI
20,150.76394499118337,155.31982263624644,NOR
21,140.38599646684105,144.8285969554673,NOR
22,212.756489170282,220.9900045348131,NOR
23,227.47503359945233,224.31854930041152,SAI
24,156.00118630726587,162.6452956838501,NOR
25,220.83333333333334,,SAI
