Minisector,GAS,OCO,Fastest
0,257.714438919224,257.09007261176424,GAS
1,202.28362897659343,207.08292304761903,OCO
2,217.76196098064517,214.98226941715677,GAS
3,259.95754589737084,254.48505438256356,GAS
4,274.0316664,273.66000041813334,GAS
5,221.16998762364872,218.1491584251768,GAS
6,95.54694714717789,94.00908797981867,GAS
7,183.31193623063064,181.5942838270026,GAS
8,268.4431344563389,267.9126049423616,GAS
9,288.901295090354,290.8970488,OCO
10,295.76524141525846,300.1189353438228,OCO
11,289.0138630812679,300.28387626666665,OCO
12,112.28408382994739,110.2230565471761,GAS
13,211.54925232814878,210.80706286598746,GAS
14,275.0746815631083,274.567000448,GAS
15,293.48178053830225,297.02724381285003,OCO
16,224.7779389476272,223.82217520860215,GAS
17,121.38633871904453,121.23144620554226,GAS
18,151.79315487383818,149.71749811779134,GAS
19,253.2774028698413,252.02006216578482,GAS
20,156.83955820863986,161.89836945939393,OCO
21,126.89036304862312,127.06273123473085,OCO
22,202.2512986089466,195.6687048425358,GAS
23,204.82189071811462,203.34545094364145,GAS
24,165.18163259544374,162.22063470022619,GAS
25,229.87499733333334,227.96874933333334,GAS
