Minisector,LEC,VET,Fastest
0,261.25944484935326,263.3618000555664,VET
1,136.96930591738519,137.7437686230492,VET
2,266.78139965170067,269.7214565591658,VET
3,311.1791717995604,311.94790381449275,VET
4,308.6541505227278,310.69565973333334,VET
5,315.6074017391304,319.2037202603174,VET
6,321.35425358888887,324.8216189504817,VET
7,320.9215578898551,324.9069199038638,VET
8,212.16491569273077,207.35600454932361,LEC
9,195.69672506658935,194.4208238715452,LEC
10,194.48099857243108,191.60331259205512,LEC
11,165.287694849806,165.58843211615186,VET
12,252.45121281845715,255.19109230344827,VET
13,277.05824167032966,278.6398809904762,VET
14,281.5925929876543,283.1755648781441,VET
15,284.7977043162094,288.43808672429793,VET
16,189.11237577458195,184.55220620429975,LEC
17,194.2130743572997,194.14899130385965,LEC
18,240.2565844313331,242.8596041311755,VET
19,288.2377145478095,289.6530296146291,VET
20,311.36799748591426,313.4802518285714,VET
21,319.7119877067362,322.23280123059163,VET
22,317.85368735877495,321.2600753602531,VET
23,272.98152410864196,269.97344493597234,LEC
24,116.90216418679007,116.22946276475056,LEC
