Minisector,LAW,HUL,Fastest
0,317.16313094276336,309.09458876453203,LAW
1,313.3707730690909,303.61039950145755,LAW
2,166.25187647728677,163.1046874984795,LAW
3,159.1767163019174,154.95796255142955,LAW
4,197.16467117894973,197.54646215555113,HUL
5,147.50750669025004,145.86017653355455,LAW
6,200.99334337413865,199.00099006202686,LAW
7,271.62480112818946,269.8241356629212,LAW
8,292.41948953641736,284.5924480654195,LAW
9,286.0664060286731,274.63611844033613,LAW
10,235.7208032036281,232.06083203734858,LAW
11,240.07637108627725,234.47724892230576,LAW
12,213.95841321094426,221.77635220136057,HUL
13,175.78965877846076,180.5257947658654,HUL
14,139.6300307889324,134.31934085321748,LAW
15,130.58571116317378,127.79100936124347,LAW
16,204.01776017734323,187.1276992505136,LAW
17,267.7773602329283,267.43074250222224,LAW
18,192.0127004893773,206.69350497061043,HUL
19,114.12881383527869,112.728167707115,LAW
20,206.8351206115601,207.2350257938924,HUL
21,181.48328624322036,177.5288291657143,LAW
22,252.70908634030974,243.42635891186882,LAW
23,278.6427670418638,278.5107110679365,LAW
24,305.11190580981685,304.62776844,LAW
25,314.42916693333336,310.1791669333333,LAW
