Minisector,BOT,HAM,Fastest
0,257.1761153393985,253.20805177124777,BOT
1,208.75966913015873,210.57113279319142,HAM
2,223.35534905603095,222.44567997667576,BOT
3,261.87216095140417,262.1383931428571,HAM
4,275.51923714194345,276.3804203934691,HAM
5,216.01151598571428,224.32872275268818,HAM
6,98.72505571417643,97.6501521137319,BOT
7,182.63770858025393,177.5011400752403,BOT
8,268.1969547897436,267.29674220130835,BOT
9,289.66397407241163,290.33920562916705,HAM
10,298.3286457777778,299.7372154501035,HAM
11,293.63212435033034,295.6831208264219,HAM
12,113.59869707491023,114.0450006933485,HAM
13,216.56878602380954,211.09545848332212,BOT
14,276.6121187230476,274.60728316559783,BOT
15,293.51689949151137,292.3991201722567,BOT
16,215.21673520612615,227.07414067788375,HAM
17,126.51872246834915,123.83593528208154,BOT
18,152.6045854095238,153.3941078320632,HAM
19,252.17579777593141,252.3146101300696,HAM
20,157.44232600799424,159.36027491288954,HAM
21,131.22720826862306,129.84229136013397,BOT
22,206.94157813290562,201.67436744066896,BOT
23,208.07999826673932,212.9743255019482,HAM
24,169.21839404227643,168.3564819148695,BOT
25,,229.541664,HAM
