Minisector,VER,NOR,Fastest
0,253.6629344033184,253.10451822248342,VER
1,224.275811776358,218.06458803960365,VER
2,209.13605977160802,214.13259648116474,NOR
3,257.10511623245657,263.63763034834955,NOR
4,270.6061069316797,276.93041722379803,NOR
5,288.80750651259257,292.3141979003247,NOR
6,159.48899791494955,160.45885959208275,NOR
7,177.44743430742164,185.3520409784366,NOR
8,264.9259274971429,270.86491385886603,NOR
9,295.6276022494661,296.846020779861,NOR
10,306.67174377601367,307.363416349052,NOR
11,305.9098780270384,303.6007544084474,VER
12,115.09023322201494,108.85884159802784,VER
13,174.9034001300559,194.03477234739168,NOR
14,267.1071373532721,270.96449525268224,NOR
15,294.95001882364596,295.718076585996,NOR
16,300.01666731789476,294.73749679100735,VER
17,190.84757089007806,190.77847591985474,VER
18,223.8071284181598,225.2983226772378,NOR
19,269.92106144632345,273.784967150224,NOR
20,151.89883064082923,149.97803177310516,VER
21,143.53251551092907,148.39742784120563,NOR
22,213.8768857686075,226.41147916533967,NOR
23,237.95740760408006,229.7164279915854,VER
24,157.82713304517137,161.62344460878438,NOR
25,223.8499968,,VER
