Minisector,PIA,LAW,Fastest
0,246.80929661887447,251.77510245260385,LAW
1,283.29665811266955,285.6789547857875,LAW
2,178.7978626030001,169.416674205059,PIA
3,148.41656446677385,142.17929653946362,PIA
4,255.5375054326702,257.48038379282053,LAW
5,271.99711893809524,272.0615505030491,LAW
6,240.25507352845574,236.17754031989418,PIA
7,209.08538283783136,212.24727332703242,LAW
8,168.86105863234474,163.88682435728717,PIA
9,218.74579607450798,218.64537151721956,PIA
10,271.7223350658806,269.6784224,PIA
11,126.85239845557999,128.49861146465395,LAW
12,208.0811969439242,209.1096051190169,LAW
13,273.751235001068,274.77976476452284,LAW
14,297.48061574200784,296.78834045567254,PIA
15,308.23655818153605,307.53575576419047,PIA
16,242.5206871445177,236.32338432560638,PIA
17,129.70063127187055,128.25128255878354,PIA
18,131.34922870233592,132.78031558960825,LAW
19,123.67533284317369,119.13780398448799,PIA
20,226.94229672058088,228.64213487047618,LAW
21,261.7529498048895,260.79608427343913,PIA
22,232.859633608366,237.16364343588572,LAW
23,220.65273319068467,208.2039206558717,PIA
24,141.66248273740212,141.77896693848507,LAW
25,216.89999999999998,,PIA
