Minisector,PER,HUL,Fastest
0,298.4795303957672,302.70646268084056,HUL
1,218.18214749308407,210.02288482742858,PER
2,227.50144571213676,232.14329946984626,HUL
3,275.3559981000448,277.6938724005037,HUL
4,238.18272908307694,241.95144930771525,HUL
5,126.52202467885132,123.33525676541089,PER
6,209.77736893683812,210.09091072096567,HUL
7,263.95528837056276,259.84745355008135,PER
8,256.59173814214876,253.367295363826,PER
9,245.35851001109629,236.19571158603173,PER
10,280.03738544,279.22951920728457,PER
11,297.8673122278095,299.0533918236883,HUL
12,306.74733106539685,309.8495472422804,HUL
13,310.5075065312169,313.5455101910204,HUL
14,307.6548723875969,313.20320299744105,HUL
15,271.35701454343683,252.94018758523,PER
16,246.46731538655217,242.87497368288598,PER
17,281.42944213333334,282.3944512689762,HUL
18,289.6823234143319,296.5702211069388,HUL
19,157.73270300993553,155.08225337881282,PER
20,207.40545727407593,207.8418385802299,HUL
21,188.42272985708183,185.93858251365722,PER
22,140.28631277587914,140.05252767277167,PER
23,239.59714236720686,240.53967859456176,HUL
24,285.71414856922803,284.07092893669204,PER
25,,299.1222215111111,HUL
