Minisector,PIA,NOR,Fastest
0,324.5711478774532,325.9578537876946,NOR
1,335.35640428072816,334.5781973586472,PIA
2,335.7236457617778,338.1851417150113,NOR
3,196.61253144724046,188.16209007092678,PIA
4,140.18553836655272,134.07189476799257,PIA
5,267.9003567289559,268.5659253004542,NOR
6,302.9843779924007,301.7865941473809,PIA
7,315.96630691723965,318.36650573005846,NOR
8,263.48992102352094,266.270332516533,NOR
9,144.5871651207869,151.04048634430936,NOR
10,224.89002219577964,228.90730575038546,NOR
11,234.6798029399756,235.18950541921583,NOR
12,208.54984814861496,209.15162415699328,NOR
13,272.28121416932277,275.7674451641599,NOR
14,309.01127801139904,310.1113471241558,NOR
15,321.03818993246756,326.06134404087123,NOR
16,274.38449429223107,258.7282935276162,PIA
17,221.59260225837684,228.10661051199597,NOR
18,282.912743236223,284.9338362944928,NOR
19,312.6957709157287,314.24417723387813,NOR
20,325.21008204035275,327.0612254029984,NOR
21,300.716084924041,302.39681113939395,NOR
22,214.44373477136713,217.02089262820232,NOR
23,269.7366264180316,276.2163343970794,NOR
24,305.0069215588007,310.93287301214207,NOR
25,318.6625008,,PIA
