Minisector,PER,RUS,Fastest
0,251.89411714504357,254.1490893135129,RUS
1,124.4118391155204,123.85994280808956,PER
2,259.7868469361743,259.98537486961044,RUS
3,303.85295083210883,300.8003448275862,PER
4,305.4982589734666,298.5258264442182,PER
5,314.62854438381396,307.5106790123457,PER
6,318.59262820512816,310.849349952,PER
7,320.5726062369785,306.1595634734577,PER
8,184.73277763160198,187.35764065220852,RUS
9,184.49343453437498,188.8595646988592,RUS
10,181.02577617580602,175.42676240421088,PER
11,172.98906091781387,178.9564524747595,RUS
12,244.15984594068584,255.15516547806445,RUS
13,270.21230568384874,270.0782560262128,PER
14,274.36791051278436,278.79116128935067,RUS
15,274.21962962962965,267.1267519362371,PER
16,171.9980295924463,172.44687405952408,RUS
17,180.963795956139,182.53284442087974,RUS
18,230.4535456484127,234.1887582452381,RUS
19,281.63432876705815,278.8025983171796,PER
20,303.56038957126043,298.41551381158433,PER
21,309.62558107051865,304.07488569295236,PER
22,308.7344357430857,302.24567469460317,PER
23,241.1636957125336,241.4566836195955,RUS
24,109.48072554765261,108.06362549497908,PER
25,223.8250048,224.2125024,RUS
