Minisector,BOT,KVY,Fastest
0,294.47120314687675,290.9664500516914,BOT
1,206.40971223533862,193.1788251836727,BOT
2,233.28909115347557,227.68809272477392,BOT
3,275.60173483689704,272.76544071406926,BOT
4,234.45084369038136,227.6742561051396,BOT
5,126.99681048262404,123.30442220770344,BOT
6,217.0109480105721,213.46637389189146,BOT
7,264.71896644401414,256.2928637164933,BOT
8,216.44706283366594,201.77141133698152,BOT
9,208.96900222168662,209.06747318962087,KVY
10,266.14218494960716,262.793771826051,BOT
11,210.48639129273138,201.16684018243816,BOT
12,180.20842886928725,184.78035518449468,KVY
13,263.8660922284017,261.59186916335557,BOT
14,284.2664471578948,280.0096733151199,BOT
15,266.6450798252176,260.0116789628394,BOT
16,245.38603992032998,244.63285993649123,BOT
17,276.1851707407142,273.2544132750217,BOT
18,289.4828792523506,286.5448098519547,BOT
19,182.14878033928554,179.11986115320616,BOT
20,217.85524958708558,210.46910949747442,BOT
21,169.89470264166687,167.36703643314436,BOT
22,147.36639134924354,142.41143086715843,BOT
23,243.55691807681993,241.1143455761192,BOT
24,281.9280040720355,282.01382685094507,KVY
25,290.83084508046807,,BOT
