Minisector,NOR,STR,Fastest
0,281.1853184946366,273.11824626785017,NOR
1,122.25863097443283,110.74822501233417,NOR
2,172.84444579232422,162.91075078344414,NOR
3,206.76204734144926,207.24954063641388,STR
4,162.542821637506,151.30111453856208,NOR
5,239.32266110040814,239.83702935188407,STR
6,200.32575557705295,195.60269976860397,NOR
7,138.8985575179832,121.9753864951327,NOR
8,238.1022966874435,230.56250060246916,NOR
9,276.1635040857143,273.87213548696207,NOR
10,277.5698978322843,285.8753075396825,STR
11,151.9477590280418,144.3125045633584,NOR
12,220.64523484196928,222.54687206415457,STR
13,271.1682503317669,273.12947227242984,STR
14,257.5627604667669,259.31821424761904,STR
15,99.75430435037987,98.47064994305583,NOR
16,221.50573271615752,217.92958955748793,NOR
17,269.44711547936697,272.88800139929964,STR
18,289.59817931114844,292.07886618603567,STR
19,297.78987474460627,302.1028978117172,STR
20,303.06127447843136,307.06954628913127,STR
21,279.4106404901587,269.5434837092732,NOR
22,156.8831898329149,144.6034216499986,NOR
23,233.16974604985506,234.67747263427663,STR
24,275.3570774190714,275.0063494772487,NOR
