Minisector,RUS,HAM,Fastest
0,311.2719200969697,311.17453416784315,RUS
1,201.77648632141526,201.2252361876015,RUS
2,147.3931691040426,149.6031949640037,HAM
3,228.20292337692348,224.4362037037037,RUS
4,164.07233259898763,164.6572797373906,HAM
5,178.39058831957013,186.45497270845095,HAM
6,252.9667665497643,254.2132454496203,HAM
7,280.01530919570064,282.4458911259259,HAM
8,287.5920824330829,290.25896103896105,HAM
9,262.06877268548755,265.0612346682883,HAM
10,243.43829946532634,240.1161442558502,RUS
11,241.5699721847619,238.802646,RUS
12,202.05796888616646,196.2346857522612,RUS
13,129.72636427181902,130.18277372646725,HAM
14,139.38382797113383,131.11455896519576,RUS
15,177.96299664724407,179.08505654805626,HAM
16,251.1252670141302,252.06697278911565,HAM
17,237.9131778926682,225.42608782166556,RUS
18,114.65131979963786,114.58895097063514,RUS
19,201.62773823743694,205.79892814625973,HAM
20,202.25669980948607,204.14165680383078,HAM
21,240.87157765239766,242.94660475010267,HAM
22,267.6297975792876,269.66546601308727,HAM
23,286.75822154661216,288.23980648761903,HAM
24,301.5163230593016,303.39964094039664,HAM
25,306.0,,RUS
