Minisector,HAM,SAI,Fastest
0,308.1054884557983,298.76151966535946,HAM
1,211.22965782905337,231.61889179963242,SAI
2,131.70881612032957,132.47858844578113,SAI
3,219.10619518350376,216.1162971059649,HAM
4,262.30788734730163,260.4172662716792,HAM
5,287.7420220168034,285.7643292793651,HAM
6,301.4067540239776,298.48905187321515,HAM
7,265.82107477027114,274.47187038419753,SAI
8,171.68239454238469,169.92221360693236,HAM
9,239.81185499063608,238.89091544177776,HAM
10,273.4889388165079,270.9900145954294,HAM
11,256.17519223498664,262.0746925108846,SAI
12,206.18846300727344,205.2775734100585,HAM
13,121.21948811668932,121.70266545524001,SAI
14,125.87781773671365,123.72804445924206,HAM
15,153.31381920444565,156.17963484075537,SAI
16,125.48418250618198,121.79280532509938,HAM
17,230.05454060578987,234.20951905352507,SAI
18,172.24654585084247,170.0728456295596,HAM
19,161.25800541251766,160.95350315567597,HAM
20,241.51604694703383,242.1667422071178,SAI
21,272.9855437478059,270.82825754385965,HAM
22,291.53450688291815,288.95900619871753,HAM
23,301.4016070120635,298.24982133714286,HAM
24,306.20836043359304,303.72885138823534,HAM
25,,305.7,SAI
