Minisector,STR,VET,Fastest
0,266.8559150733933,269.7848008054106,VET
1,272.019241131815,252.71809686888014,STR
2,120.28488105321112,108.88456696958458,STR
3,156.61826797332458,166.97809884289777,VET
4,184.02030899112268,174.89345742636283,STR
5,195.30095716443273,212.25738670441132,VET
6,265.8375747777602,270.1659402192306,VET
7,285.21492610331893,284.81064291521534,STR
8,182.32439053496597,174.3803721659109,STR
9,127.96322097005559,118.33972652537952,STR
10,120.29363177008678,127.13966766166023,VET
11,176.27327106573543,185.2368956080937,VET
12,218.35895092708995,203.9552094508052,STR
13,127.08748680301032,128.09722784151975,VET
14,150.57396486341125,138.22455253059022,STR
15,113.81823731838385,127.20170566835628,VET
16,245.04139294217606,246.12916311380926,VET
17,153.09933933571762,132.52608892419047,STR
18,183.35999274561578,190.57972996428884,VET
19,127.98710985647703,111.22854711170974,STR
20,127.58969189990934,120.24062790674222,STR
21,116.77419586777839,120.03047178479562,VET
22,131.3907031528713,153.75976426954955,VET
23,212.31033883619048,214.83009675009598,VET
24,220.1286063760452,236.9897019413904,VET
