Minisector,PIA,HAM,Fastest
0,259.31056469960225,258.8193100741501,PIA
1,130.4513662348753,133.9223883190857,HAM
2,198.8840184152381,202.61908425023344,HAM
3,248.42780208586905,248.66071684832136,HAM
4,257.9486094177499,259.7309927292517,HAM
5,175.25995559546487,179.23343691809524,HAM
6,142.87795292536208,147.0212017652355,HAM
7,183.1948983103855,190.2306021611594,HAM
8,101.82980234772879,101.18361970883039,PIA
9,69.45099618545703,75.32594285675233,HAM
10,93.19021221136956,97.95139845149352,HAM
11,182.5957736182857,189.72326691887056,HAM
12,243.67084433886114,251.06795807392606,HAM
13,269.559938416459,272.21246072250966,HAM
14,274.8040012994687,283.9101755052698,HAM
15,113.97275405609935,120.58017728389659,HAM
16,151.10136765835048,146.74899966860917,PIA
17,184.77410980078227,189.68702927398496,HAM
18,201.84922968055002,204.6783837183063,HAM
19,205.4022228454902,219.49275060201222,HAM
20,136.45800176488513,134.72957362813187,PIA
21,108.14458452653595,115.45478753577353,HAM
22,96.20420123716404,100.68597104721759,HAM
23,197.46995666240898,198.71575752842713,HAM
24,251.18051524155487,251.43530652012927,HAM
25,,267.6714276571429,HAM
