Minisector,PER,LEC,Fastest
0,245.45064112598638,253.509775230839,LEC
1,125.08936476283004,127.33210823280463,LEC
2,196.2460212063492,194.88105945566136,PER
3,243.01532807697834,243.89138290910952,LEC
4,258.67122783818047,257.46257308968063,PER
5,175.3561388639599,171.99572156444444,PER
6,141.4893732848023,144.468377476,LEC
7,187.41828692938273,182.08058867395152,PER
8,98.55535305630806,99.38244807466447,LEC
9,75.07123701759396,71.48650776104668,PER
10,94.81124625656565,93.8092624013288,PER
11,185.6756509189418,185.14422361808926,PER
12,244.2155157350649,245.44954744242426,LEC
13,265.2434815691274,266.8342226713388,LEC
14,270.0948564356343,275.91079274762353,LEC
15,105.97164087024028,97.21092303847144,PER
16,151.10019801553034,153.03957573123353,LEC
17,183.11160722577927,174.37438491476945,PER
18,200.17373136181013,199.3777975942952,PER
19,210.40441226459544,202.30108645345666,PER
20,135.6770896843521,135.7690683645561,LEC
21,105.96115844961065,100.78883606476562,PER
22,100.78566862710903,99.40792413843351,PER
23,200.6548791720635,201.9645348491228,LEC
24,248.27209111362694,252.45706277375942,LEC
25,261.7454557090909,,PER
