Minisector,HAM,ALO,Fastest
0,288.00955376,288.5462654352111,ALO
1,300.50671318518516,297.72595893045155,HAM
2,176.38266084923478,161.80800101966133,HAM
3,223.92565310068315,218.8372161428487,HAM
4,270.3555185338032,268.69583091118125,HAM
5,288.1826391111111,288.73223161200855,ALO
6,292.1257919921212,295.7694762423072,ALO
7,181.99013039124665,173.25968851723144,HAM
8,128.60628170563575,122.07698981073605,HAM
9,248.57776562433403,245.31444735373336,HAM
10,279.8774663534742,279.9465645258293,ALO
11,290.11493260405825,292.31643531851853,ALO
12,156.02174545933775,147.67448137872762,HAM
13,192.40232423207522,185.94427365858024,HAM
14,258.7009354376417,254.05753965714285,HAM
15,218.68130294423298,198.6489764914441,HAM
16,225.61544612877364,204.5517578425343,HAM
17,227.8454235410212,206.44920314120213,HAM
18,247.12215806060604,236.41218734597368,HAM
19,274.7320912159145,272.11437477333334,HAM
20,289.8489218915421,289.91362211037375,ALO
21,271.0741253614035,257.5135599048153,HAM
22,235.84687771488368,221.8083859510934,HAM
23,204.94582685266727,201.35051673757178,HAM
24,261.3940652000411,259.6999999854875,HAM
25,278.6333333333333,,HAM
