Minisector,LEC,MAG,Fastest
0,269.03541758548755,268.5630695836867,LEC
1,249.33055917928377,248.8573625509957,LEC
2,118.80898722234048,119.4360265614255,MAG
3,167.15712449738376,172.35176190994386,MAG
4,198.8161285503952,191.50049286384237,LEC
5,195.1946039913975,190.9516431068033,LEC
6,263.10566543588124,264.8462335498039,MAG
7,287.4404449879681,285.5073937746032,LEC
8,242.85034999549782,225.35214388109665,LEC
9,142.09556889681124,143.57358757239766,MAG
10,108.39018548828497,110.22221471736381,MAG
11,147.546904845225,151.11215570395748,MAG
12,240.28465353142857,243.35153881904765,MAG
13,152.29644538166752,154.65474512184332,MAG
14,138.66110110782833,143.36890684931217,MAG
15,106.49931243671328,109.02084541696009,MAG
16,210.68582307133948,213.99195517521892,MAG
17,240.48573599670524,234.92892578222222,LEC
18,128.35303820051948,125.26276186767453,LEC
19,237.85130570846698,237.60484097626906,LEC
20,275.7252657960173,272.90490355116884,LEC
21,210.79389371359943,207.34630625261525,LEC
22,138.98880737697283,140.33187532703846,MAG
23,212.7863544093091,210.5371123757775,LEC
24,218.64529847147392,220.9675873457557,MAG
25,254.7285741714286,254.14500096,LEC
