Minisector,HAM,ALB,Fastest
0,312.8165698499002,297.02103546908785,HAM
1,322.0907417459341,304.40016664533334,HAM
2,248.6669167879699,216.55122476299016,HAM
3,137.2761723078403,135.67645276140672,HAM
4,222.23156739302135,214.5012530050598,HAM
5,166.42228747391405,156.0118288607268,HAM
6,166.93413457751433,168.2602162763756,ALB
7,245.65941592900433,255.9642757445614,ALB
8,277.74983795555556,280.94302147633647,ALB
9,286.52598644341225,289.5515132294737,ALB
10,265.33193647662307,253.39641237897706,HAM
11,231.70946241342403,236.11641852256156,ALB
12,241.38646393773948,229.14013407505928,HAM
13,210.83093244617604,202.867419262925,HAM
14,129.22600970013738,126.30026794796908,HAM
15,143.59181748963923,132.94128676546882,HAM
16,167.19891703656188,182.01420894423356,ALB
17,245.26698921289275,258.1127854035088,ALB
18,248.4843588570731,227.89949600843443,HAM
19,115.22532417356562,113.13047487240104,HAM
20,186.71163371007958,201.42478187616294,ALB
21,200.9925870543035,194.85572113127398,HAM
22,232.7957083491639,242.10273511869391,ALB
23,268.608619394211,275.36361603809524,ALB
24,294.1047779027059,298.63735730926163,ALB
