Minisector,ALO,PER,Fastest
0,279.40654191127584,283.473072559213,PER
1,308.8973657136616,308.72537465649964,ALO
2,296.29101678731007,285.10265144242425,ALO
3,172.3220435845176,161.2161991667661,ALO
4,109.7143256999702,116.55730332696719,PER
5,235.55564128502954,240.13875932058804,PER
6,278.5520504629848,295.40433553512486,PER
7,285.2451155903841,298.6323669621752,PER
8,166.75955846019207,154.06729469167607,ALO
9,134.211966358772,133.6600777399115,ALO
10,250.8031787171632,253.470574046027,PER
11,284.45216812375577,294.3875099382023,PER
12,293.41540516844873,293.2318949737252,ALO
13,276.17922155558534,264.06300604521914,ALO
14,295.5347343726107,296.87658269895496,PER
15,299.6515820820646,296.58384937329873,ALO
16,245.90066329358072,227.80646694614393,ALO
17,212.11709229006274,215.17617328358054,PER
18,274.53228536449734,289.20429723003457,PER
19,300.2004382898789,318.63107498826577,PER
20,305.47559983675575,311.8261515873129,PER
21,226.7193762335025,194.55222326967282,ALO
22,247.35307642534553,243.27380433570673,ALO
23,130.68417605241046,126.21526084842588,ALO
24,200.88510441175652,218.57490815823104,PER
25,248.56485581526874,,ALO
