Minisector,VER,TSU,Fastest
0,290.5731459526494,289.9369453657143,VER
1,160.10046424752883,163.5627567217516,TSU
2,155.01885433974195,156.13202498388694,TSU
3,227.83295660228063,238.4047651879243,TSU
4,285.77956817916305,289.7388644920029,TSU
5,295.7638665935997,282.70816413671844,VER
6,151.06574765549772,146.40403697099393,VER
7,143.46450151517107,140.08643597478695,VER
8,142.45861267629076,139.49184941312672,VER
9,185.98180311312268,199.682573651622,TSU
10,131.42802653269297,130.51012385007093,VER
11,130.61715624305128,124.72769993644347,VER
12,166.45264741502632,179.71783345745266,TSU
13,267.8509124484183,271.4909746380315,TSU
14,296.4294636523565,292.9096781708558,VER
15,159.53570788340514,150.746408796475,VER
16,219.87084153983056,191.9295502163573,VER
17,171.9265494896623,175.57352420520868,TSU
18,271.1006781710793,273.8668116289855,TSU
19,294.2955206059467,297.998621651098,TSU
20,307.66621857707315,312.50870486457177,TSU
21,316.2335968163724,320.837704478647,TSU
22,321.22499163875557,326.2018317844862,TSU
23,323.55105639746097,335.2060585902197,TSU
24,322.0910966288048,340.83273191973444,TSU
