Minisector,SAI,PER,Fastest
0,253.42755269604297,248.27018423807434,SAI
1,281.7495257109719,280.0900508444444,SAI
2,160.82214001935037,165.41127123566346,PER
3,165.57534289120318,167.7844040838095,PER
4,261.1453072847153,260.2394515032205,SAI
5,267.0447833748613,263.0539116698413,SAI
6,202.67508041705022,214.79983268330338,PER
7,190.41998216830802,194.46421829224425,PER
8,153.15033035218158,151.72379799622962,SAI
9,228.894091381685,222.02654249876542,SAI
10,278.9718816362812,273.5026074340136,SAI
11,120.30669460307638,121.7811375505483,PER
12,219.09893953580246,217.3899272336854,SAI
13,273.58027412930585,272.43353030912374,SAI
14,289.8814581866667,292.71805546666667,PER
15,295.5391665066667,299.07395927157575,PER
16,215.7628017142857,220.64860843344874,PER
17,131.77939253050496,132.39066932068678,PER
18,132.91885292440435,133.358633219156,PER
19,120.90350894603175,121.29296487257487,PER
20,222.96730728205128,223.84825993260074,PER
21,248.56114450389526,250.5507244985507,PER
22,221.12019347692305,227.65648158024692,PER
23,210.03586416868035,210.89118502029228,PER
24,141.7986455858169,144.59420815140808,PER
25,225.11428205714287,,SAI
