Minisector,RUS,BEA,Fastest
0,284.8147340088889,295.9843333594228,BEA
1,293.2113636987013,305.42992192,BEA
2,237.0925314535619,236.37525902786598,RUS
3,119.90170545376635,115.60111251767206,RUS
4,134.68354066649886,138.9188663871621,BEA
5,255.28439038176347,259.072138074047,BEA
6,245.45435740666667,249.0186229773545,BEA
7,128.7471851587733,121.38864172324826,RUS
8,253.06569482112553,244.46514516826355,RUS
9,255.72391150064024,248.506024934824,RUS
10,213.04011450484333,210.27122039820472,RUS
11,143.80775041632725,148.3832331238849,BEA
12,204.5259662115654,203.4768868663977,RUS
13,254.0423452584814,259.245551017944,BEA
14,113.87637156383204,113.60594059070156,RUS
15,192.82342850620898,185.39976637007493,RUS
16,270.9309690867633,264.65365528554975,RUS
17,312.97185719887955,311.9710897764021,RUS
18,323.7016527787862,318.61470576862746,RUS
19,327.2149719502521,323.3316458961929,RUS
20,325.15689887695237,326.3512499911111,BEA
21,190.66381841438192,162.58667430053924,RUS
22,143.34121934017116,155.796835099557,BEA
23,191.20521988626848,180.7094139380459,RUS
24,231.52879095515516,237.74284477323775,BEA
25,258.0,,RUS
