Minisector,NOR,MAG,Fastest
0,325.9578537876946,323.7358523999204,NOR
1,334.5781973586472,332.6300556757143,NOR
2,338.1851417150113,332.161314592254,NOR
3,195.12510126690057,198.14235677006255,MAG
4,131.8287081748818,126.58507491415614,NOR
5,267.50074008683845,265.3650765553473,NOR
6,300.5990941473809,301.8912056664724,MAG
7,317.7474267574269,317.43602991039336,NOR
8,281.145386344127,289.2133006328722,MAG
9,146.98737126728892,137.9818659211612,NOR
10,229.08348523902643,223.90743302614058,NOR
11,234.78333921168314,218.01764808501224,NOR
12,209.0828739703266,199.07891315989758,NOR
13,273.0878974566397,262.5780819740559,NOR
14,308.33527398299054,302.77719246019046,NOR
15,325.2659672875863,321.1820406765432,NOR
16,269.6460819994111,293.11032285715663,MAG
17,223.24730491199597,207.53821464448902,NOR
18,282.1400654118518,270.46688438363583,NOR
19,312.9223168263045,304.0738536655238,NOR
20,326.17598102405105,321.97362601500834,NOR
21,315.6141597790476,319.82985972626113,MAG
22,215.26225605446493,212.99607299744983,NOR
23,271.38212206279945,260.35093713310476,NOR
24,310.1132922467219,299.65726475665053,NOR
25,,316.66804290134326,MAG
