Minisector,COL,SAI,Fastest
0,288.735670447257,284.1770969025451,COL
1,159.8198077132678,148.9863135468998,COL
2,164.68822776041006,157.69062967858906,COL
3,239.32608511028297,241.95865671143892,SAI
4,274.6907522668078,263.0221173625859,COL
5,234.7279739305864,229.3659396369947,COL
6,202.74415895241665,205.38903552621917,SAI
7,139.1664627654308,138.92387910396732,COL
8,229.38713848740738,231.02097831918368,SAI
9,298.8704348556204,298.7719370855127,COL
10,320.29221298069905,321.1008332266667,SAI
11,320.90071807368344,320.2202384800436,COL
12,312.60809527477954,313.7951339085714,SAI
13,304.59678967736176,306.1188843922587,SAI
14,127.87760693870311,122.89669425609942,COL
15,117.74689404276731,116.23955258617416,COL
16,100.98114180583006,106.51464647007064,SAI
17,243.81262535827383,243.4261978293706,COL
18,304.95218580938274,305.3605765005553,SAI
19,318.108473676527,319.03545422457734,SAI
20,313.91156861490197,316.3090686745098,SAI
21,310.0056679139572,313.91693146134355,SAI
22,118.71468941645429,114.3880846753269,COL
23,203.29998412753068,213.37220466018186,SAI
24,274.6549246019412,271.1365170175868,COL
25,282.4906248,,COL
