Minisector,ANT,LAW,Fastest
0,273.63157894736844,274.61626795497835,LAW
1,125.15070808820809,113.43331477317611,ANT
2,163.55902871075284,164.76653837724052,LAW
3,206.5597866419295,203.23325458455028,ANT
4,174.28955314009661,160.23225127542858,ANT
5,238.5459001782531,241.19859149014735,LAW
6,208.619099378882,194.06938290520145,ANT
7,138.20876176510467,134.1413108880052,ANT
8,248.21969507101088,245.83565560993466,ANT
9,285.17712053571427,284.76188595899157,ANT
10,282.8267448849713,265.7042577876911,ANT
11,157.96724644403216,147.24233539377778,ANT
12,225.86421141134002,229.46079070690058,LAW
13,279.1001400560224,277.5290128197531,ANT
14,258.32450980392156,203.07547850790453,ANT
15,104.61468896156924,100.36870508008457,ANT
16,236.26248487102194,239.3857907162573,LAW
17,295.91898577612864,290.57745642142856,ANT
18,313.7619658119658,317.55480138091394,LAW
19,322.8232353338562,323.8448374462337,LAW
20,325.64930555555554,313.6446765844898,ANT
21,297.09236633249793,265.57844231327095,ANT
22,159.61681983427872,158.08697182234997,ANT
23,244.00773809523812,252.64627574876212,LAW
24,283.2798941798942,275.0689565816666,ANT
