Minisector,ALO,RIC,Fastest
0,260.25618430139366,263.54942895336586,RIC
1,133.15966660533485,137.4504715914144,RIC
2,268.39036502521793,265.5475076410661,ALO
3,308.86505852562897,309.4313651460063,RIC
4,308.69929043106225,310.4153662359596,RIC
5,314.88872689185183,319.3021634477682,RIC
6,317.18676666880003,331.3746981052678,RIC
7,317.8313595753992,341.64558134975897,RIC
8,198.35839388488995,194.97895473709573,ALO
9,204.27235432715344,196.30565077090773,ALO
10,177.53069941804966,183.51047686611255,RIC
11,167.8732588239444,169.91627069551913,RIC
12,253.81300359339824,247.55573608483436,ALO
13,273.82498529429574,267.86943867648273,ALO
14,282.2945184994855,277.2623023380889,ALO
15,258.68881917535333,268.87575826857744,RIC
16,167.32411685695124,171.19197297615776,RIC
17,195.35347388493517,192.2547715679372,ALO
18,245.67255471873807,243.21938430669064,ALO
19,288.59602171887155,285.6881461934776,ALO
20,306.9341234800905,302.4436693206025,ALO
21,312.3709095920497,307.2493332707556,ALO
22,309.64803558772485,305.4038563272168,ALO
23,249.35115275533852,249.1281440421978,ALO
24,118.65666891058139,118.39891245059171,ALO
25,231.54166933333335,229.7249984,ALO
