Minisector,ALB,OCO,Fastest
0,295.70902746666667,293.5753071803687,ALB
1,304.51969692121213,302.5859128380952,ALB
2,273.8158121033571,284.2706641493333,OCO
3,113.73756797111456,116.7213987385477,OCO
4,227.7359180505747,215.66138041909286,ALB
5,274.1211378151619,275.20846849356315,OCO
6,205.32512905050504,219.62469918319815,OCO
7,172.06509289194074,162.69545445923328,ALB
8,205.08583683034857,213.5819005,OCO
9,216.1380962064516,217.78835299235107,OCO
10,117.9300316723128,117.3306013504943,ALB
11,231.51150637979092,228.78431970574712,ALB
12,121.04875281719801,122.19986192419893,OCO
13,228.96034368735633,221.10388687367347,ALB
14,275.8906282412576,273.1130242377143,ALB
15,221.34516276989245,225.76782003551682,OCO
16,198.3362348476105,188.8532156647619,ALB
17,255.80518054603175,254.12343040668,ALB
18,202.63717162700237,208.15416453333333,OCO
19,191.33846118991596,180.40049905997427,ALB
20,267.7140375527893,263.17383609250186,ALB
21,292.0159720888889,288.8245003659561,ALB
22,168.26485601256826,178.25644860036297,OCO
23,219.0605588645161,207.01940891773458,ALB
24,275.6034739429998,271.0485222560417,ALB
25,286.7,285.4888885333333,ALB
