Minisector,SAI,OCO,Fastest
0,309.99360159238097,287.88482699298896,SAI
1,320.5516956655226,298.8504388491228,SAI
2,323.7634804705882,302.7942984421053,SAI
3,320.71271825964914,302.38442767719295,SAI
4,165.20651517344433,170.00120454179896,OCO
5,206.30580411428573,201.86871107359397,SAI
6,234.20613450734626,225.80366737066666,SAI
7,263.0076348952381,260.5479474210658,SAI
8,249.38650305845457,251.91448885797104,OCO
9,161.55603082362646,158.98710718290098,SAI
10,227.3995597079101,225.828334336,SAI
11,133.6326743364595,130.4100980252398,SAI
12,228.41102718453038,227.77728791161906,SAI
13,184.68731896796535,182.3867778873939,SAI
14,219.22451917004457,214.15602054320988,SAI
15,240.69928073015873,236.82281445369117,SAI
16,260.16236428896985,257.0480083014493,SAI
17,282.07941747167916,280.49226224761907,SAI
18,158.45509540489644,162.3339083851852,OCO
19,173.04411777254904,165.79401227216115,SAI
20,145.3308615987652,141.24523968793983,SAI
21,163.66359000947125,165.1587378965352,OCO
22,113.77313107504762,111.14789420696454,SAI
23,221.58383877248613,215.18201756086782,SAI
24,269.58522773333334,265.6296588079382,SAI
25,285.4833344,280.3625024,SAI
